date,county,state,fips,cases,deaths
2020-01-21,Snohomish,Washington,53061,1,0
2020-01-22,Snohomish,Washington,53061,1,0
2020-01-23,Snohomish,Washington,53061,1,0
2020-01-24,Cook,Illinois,17031,1,0
2020-04-25,Salem city,Virginia,51775,8,0
2020-04-25,Scott,Virginia,51169,5,1
2020-04-25,Shenandoah,Virginia,51171,72,1
2020-04-25,Smyth,Virginia,51173,13,0
2020-04-25,Southampton,Virginia,51175,75,1
2020-04-25,Spotsylvania,Virginia,51177,101,3
2020-04-25,Stafford,Virginia,51179,198,2
2020-04-25,Staunton city,Virginia,51790,10,0
2020-04-25,Suffolk city,Virginia,51800,141,5
2020-04-25,Surry,Virginia,51181,4,1
2020-04-25,Sussex,Virginia,51183,28,1
2020-04-25,Tazewell,Virginia,51185,4,0
2020-04-25,Virginia Beach city,Virginia,51810,335,10
2020-04-25,Warren,Virginia,51187,42,0
2020-04-25,Washington,Virginia,51191,30,3
2020-04-25,Waynesboro city,Virginia,51820,10,0
2020-04-25,Westmoreland,Virginia,51193,17,0
2020-04-25,Williamsburg city,Virginia,51830,15,1
2020-04-25,Winchester city,Virginia,51840,33,0
2020-04-25,Wise,Virginia,51195,20,1
2020-04-25,Wythe,Virginia,51197,11,1
2020-04-25,York,Virginia,51199,44,1
2020-04-25,Adams,Washington,53001,46,0
2020-04-25,Asotin,Washington,53003,17,1
2020-04-25,Benton,Washington,53005,399,38
2020-04-25,Chelan,Washington,53007,93,6
2020-04-25,Clallam,Washington,53009,15,0
2020-04-25,Clark,Washington,53011,327,19
2020-04-25,Columbia,Washington,53013,1,0
2020-04-25,Cowlitz,Washington,53015,39,0
2020-04-25,Douglas,Washington,53017,70,1
2020-04-25,Ferry,Washington,53019,1,0
2020-04-25,Franklin,Washington,53021,250,5
2020-04-25,Grant,Washington,53025,156,2
2020-04-25,Grays Harbor,Washington,53027,12,0
2020-04-25,Island,Washington,53029,168,9
2020-04-25,Jefferson,Washington,53031,28,0
2020-04-25,King,Washington,53033,5813,401
2020-04-25,Kitsap,Washington,53035,146,2
2020-04-25,Kittitas,Washington,53037,14,0
2020-04-25,Klickitat,Washington,53039,16,3
2020-04-25,Lewis,Washington,53041,29,3
2020-04-25,Lincoln,Washington,53043,2,0
2020-04-25,Mason,Washington,53045,22,0
2020-04-25,Okanogan,Washington,53047,19,1
2020-04-25,Pacific,Washington,53049,4,0
2020-04-25,Pend Oreille,Washington,53051,2,0
2020-04-25,Pierce,Washington,53053,1394,47
2020-04-25,San Juan,Washington,53055,14,0
2020-04-25,Skagit,Washington,53057,287,10
2020-04-25,Skamania,Washington,53059,3,0
2020-04-25,Snohomish,Washington,53061,2297,103
2020-04-25,Spokane,Washington,53063,345,19
2020-04-25,Stevens,Washington,53065,10,1
2020-04-25,Thurston,Washington,53067,101,1
2020-04-25,Wahkiakum,Washington,53069,2,0
2020-04-25,Walla Walla,Washington,53071,57,0
2020-04-25,Whatcom,Washington,53073,284,27
2020-04-25,Whitman,Washington,53075,16,0
2020-04-25,Yakima,Washington,53077,1066,44
2020-04-25,Barbour,West Virginia,54001,4,1
2020-04-25,Berkeley,West Virginia,54003,130,1
2020-04-25,Boone,West Virginia,54005,2,0
2020-04-25,Braxton,West Virginia,54007,2,0
2020-04-25,Brooke,West Virginia,54009,3,0
2020-04-25,Cabell,West Virginia,54011,38,0
2020-04-25,Fayette,West Virginia,54019,9,0
2020-04-25,Gilmer,West Virginia,54021,1,0
2020-04-25,Grant,West Virginia,54023,1,0
2020-04-25,Greenbrier,West Virginia,54025,3,0
2020-04-25,Hampshire,West Virginia,54027,7,1
2020-04-25,Hancock,West Virginia,54029,7,0
2020-04-25,Hardy,West Virginia,54031,3,0
2020-04-25,Harrison,West Virginia,54033,30,1
2020-04-25,Jackson,West Virginia,54035,124,8
2020-04-25,Jefferson,West Virginia,54037,71,0
2020-04-25,Kanawha,West Virginia,54039,148,4
2020-04-25,Lewis,West Virginia,54041,3,0
2020-04-25,Lincoln,West Virginia,54043,1,0
2020-04-25,Logan,West Virginia,54045,11,1
2020-04-25,Marion,West Virginia,54049,45,2
2020-04-25,Marshall,West Virginia,54051,9,0
2020-04-25,Mason,West Virginia,54053,11,0
2020-04-25,McDowell,West Virginia,54047,6,0
2020-04-25,Mercer,West Virginia,54055,9,0
2020-04-25,Mineral,West Virginia,54057,12,0
2020-04-25,Mingo,West Virginia,54059,2,1
2020-04-25,Monongalia,West Virginia,54061,97,4
2020-04-25,Monroe,West Virginia,54063,5,0
2020-04-25,Morgan,West Virginia,54065,9,0
2020-04-25,Nicholas,West Virginia,54067,6,0
2020-04-25,Ohio,West Virginia,54069,26,1
2020-04-25,Pendleton,West Virginia,54071,3,0
2020-04-25,Pleasants,West Virginia,54073,2,0
2020-04-25,Preston,West Virginia,54077,12,0
2020-04-25,Putnam,West Virginia,54079,17,0
2020-04-25,Raleigh,West Virginia,54081,8,0
2020-04-25,Randolph,West Virginia,54083,4,0
2020-04-25,Roane,West Virginia,54087,3,0
2020-04-25,Summers,West Virginia,54089,1,0
2020-04-25,Taylor,West Virginia,54091,5,0
2020-04-25,Tucker,West Virginia,54093,4,0
2020-04-25,Tyler,West Virginia,54095,3,0
